[
StockUnit{open=27.0, high=27.09, low=27.0, close=27.09, adjustedClose=0.0, volume=17.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0, high=27.0, low=27.0, close=27.0, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0019, high=27.0019, low=27.0019, close=27.0019, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0, high=27.0, low=27.0, close=27.0, adjustedClose=0.0, volume=13.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0, high=27.0, low=27.0, close=27.0, adjustedClose=0.0, volume=3000.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0, high=27.0, low=27.0, close=27.0, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0991, high=27.0991, low=27.0991, close=27.0991, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.1, high=27.1, low=27.1, close=27.1, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.1, high=27.1, low=27.1, close=27.1, adjustedClose=0.0, volume=1500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0999, high=27.0999, low=27.0999, close=27.0999, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.0988, high=27.1, low=27.0988, close=27.1, adjustedClose=0.0, volume=1030.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.1, high=27.1, low=27.1, close=27.1, adjustedClose=0.0, volume=26.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.1, high=27.1, low=27.1, close=27.1, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.06, high=27.06, low=27.06, close=27.06, adjustedClose=0.0, volume=19.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=27.1188, high=27.1188, low=27.1188, close=27.1188, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:03:00, symbol=null, percentageChange=0.0, target=0}, 
