[
StockUnit{open=312.9, high=312.9, low=312.9, close=312.9, adjustedClose=0.0, volume=53.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=312.8, high=312.8, low=312.79, close=312.79, adjustedClose=0.0, volume=73.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.72, high=313.72, low=313.72, close=313.72, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.77, high=313.77, low=313.77, close=313.77, adjustedClose=0.0, volume=4907.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.77, high=313.77, low=313.77, close=313.77, adjustedClose=0.0, volume=877.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.03, high=313.03, low=313.01, close=313.01, adjustedClose=0.0, volume=465.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.1, high=313.1, low=313.1, close=313.1, adjustedClose=0.0, volume=14.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:11:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.09, high=313.09, low=313.09, close=313.09, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.01, high=313.01, low=313.01, close=313.01, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=313.77, high=313.77, low=313.77, close=313.77, adjustedClose=0.0, volume=1065.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=317.52, high=317.52, low=313.77, close=313.77, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
