[
StockUnit{open=36.4875, high=36.4875, low=36.4875, close=36.4875, adjustedClose=0.0, volume=500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=374255.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.01, high=36.01, low=36.01, close=36.01, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.01, high=36.01, low=36.01, close=36.01, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.1, high=36.1, low=36.1, close=36.1, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.0, high=36.0, low=36.0, close=36.0, adjustedClose=0.0, volume=1175.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=374255.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.14, high=36.14, low=36.14, close=36.14, adjustedClose=0.0, volume=40.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.1, high=36.1, low=36.1, close=36.1, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.1, high=36.1, low=36.1, close=36.1, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.0047, high=36.0047, low=36.0047, close=36.0047, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.0001, high=36.0001, low=36.0001, close=36.0001, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=300.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=9873.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.49, high=36.5, low=36.45, close=36.5, adjustedClose=0.0, volume=391.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=35.7687, close=35.7687, adjustedClose=0.0, volume=374305.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.5, high=36.5, low=36.5, close=36.5, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:06:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=4309.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.2, low=36.2, close=36.2, adjustedClose=0.0, volume=785868.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.21, high=36.21, low=36.2, close=36.2, adjustedClose=0.0, volume=550.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.315, high=36.315, low=36.18, close=36.21, adjustedClose=0.0, volume=123469.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.225, high=36.33, low=36.225, close=36.315, adjustedClose=0.0, volume=59737.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.2, high=36.26, low=36.18, close=36.22, adjustedClose=0.0, volume=48486.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.18, high=36.235, low=36.17, close=36.2, adjustedClose=0.0, volume=51934.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.26, high=36.26, low=36.13, close=36.17, adjustedClose=0.0, volume=42867.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.22, high=36.285, low=36.2, close=36.25, adjustedClose=0.0, volume=29422.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.27, high=36.29, low=36.221, close=36.23, adjustedClose=0.0, volume=23023.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.28, high=36.29, low=36.23, close=36.26, adjustedClose=0.0, volume=23395.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.25, high=36.3, low=36.22, close=36.275, adjustedClose=0.0, volume=22250.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.36, high=36.36, low=36.24, close=36.24, adjustedClose=0.0, volume=20829.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.365, high=36.4, low=36.34, close=36.37, adjustedClose=0.0, volume=11892.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.45, high=36.45, low=36.35, close=36.35, adjustedClose=0.0, volume=15042.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.41, high=36.46, low=36.4, close=36.46, adjustedClose=0.0, volume=12095.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.43, high=36.43, low=36.41, close=36.425, adjustedClose=0.0, volume=9525.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.475, high=36.5, low=36.43, close=36.43, adjustedClose=0.0, volume=13016.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.45, high=36.4922, low=36.45, close=36.48, adjustedClose=0.0, volume=8547.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.495, high=36.5, low=36.45, close=36.45, adjustedClose=0.0, volume=8660.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=36.5171, high=36.53, low=36.49, close=36.495, adjustedClose=0.0, volume=10269.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
