[
StockUnit{open=72.78, high=72.78, low=72.78, close=72.78, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.52, high=72.52, low=72.52, close=72.52, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.804, high=72.804, low=72.804, close=72.804, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.75, high=72.75, low=72.75, close=72.75, adjustedClose=0.0, volume=101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:16:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.75, high=72.75, low=72.75, close=72.75, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8, high=72.8, low=72.5, close=72.8, adjustedClose=0.0, volume=178.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=1171858.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8, high=72.8, low=72.8, close=72.8, adjustedClose=0.0, volume=55.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.81, high=72.81, low=72.81, close=72.81, adjustedClose=0.0, volume=8.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.79, close=72.79, adjustedClose=0.0, volume=1172160.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.82, high=72.82, low=72.82, close=72.82, adjustedClose=0.0, volume=25.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8, high=72.8, low=72.8, close=72.8, adjustedClose=0.0, volume=14.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=22093.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.88, high=72.88, low=72.83, close=72.83, adjustedClose=0.0, volume=451.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:22:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.82, high=72.83, low=72.82, close=72.83, adjustedClose=0.0, volume=1044.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8, high=72.815, low=72.8, close=72.8, adjustedClose=0.0, volume=401.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:18:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8007, high=72.815, low=72.8007, close=72.815, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:17:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.76, high=72.815, low=72.76, close=72.815, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.75, high=72.75, low=72.75, close=72.75, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:09:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.6304, high=72.6304, low=72.6304, close=72.6304, adjustedClose=0.0, volume=1000.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 17:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.63, high=72.63, low=72.63, close=72.63, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.72, high=72.72, low=72.72, close=72.72, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.8, high=72.8, low=72.68, close=72.68, adjustedClose=0.0, volume=2214.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.78, high=72.78, low=72.78, close=72.78, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=461.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.81, high=72.81, low=72.81, close=72.81, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:27:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=12469.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:26:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.81, high=72.81, low=72.81, close=72.81, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.51, high=72.74, low=72.5, close=72.74, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:20:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.81, high=72.81, low=72.81, close=72.81, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:19:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.77, close=72.77, adjustedClose=0.0, volume=188.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.69, high=72.69, low=72.62, close=72.62, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:14:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.81, high=72.81, low=72.78, close=72.78, adjustedClose=0.0, volume=160.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:13:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=73.01, low=72.83, close=72.88, adjustedClose=0.0, volume=1172001.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:10:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.0, high=72.0, low=72.0, close=72.0, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:08:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=10276.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.85, high=72.85, low=72.83, close=72.85, adjustedClose=0.0, volume=9426.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:05:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.84, low=72.83, close=72.84, adjustedClose=0.0, volume=5972.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:04:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.16, close=72.83, adjustedClose=0.0, volume=9392.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:03:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=841957.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:02:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.83, high=72.83, low=72.83, close=72.83, adjustedClose=0.0, volume=3145.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:01:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.85, high=72.85, low=72.83, close=72.83, adjustedClose=0.0, volume=2445908.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 16:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.88, high=72.91, low=72.775, close=72.84, adjustedClose=0.0, volume=240165.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.885, high=72.94, low=72.86, close=72.875, adjustedClose=0.0, volume=120357.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.835, high=72.9, low=72.825, close=72.89, adjustedClose=0.0, volume=69650.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.705, high=72.85, low=72.705, close=72.835, adjustedClose=0.0, volume=248490.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.78, high=72.78, low=72.685, close=72.71, adjustedClose=0.0, volume=54475.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.76, high=72.8, low=72.74, close=72.785, adjustedClose=0.0, volume=38152.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.82, high=72.835, low=72.7401, close=72.76, adjustedClose=0.0, volume=38594.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.84, high=72.845, low=72.81, close=72.83, adjustedClose=0.0, volume=36002.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.885, high=72.91, low=72.835, close=72.85, adjustedClose=0.0, volume=36542.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.97, high=72.99, low=72.885, close=72.885, adjustedClose=0.0, volume=49142.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.97, high=72.97, low=72.935, close=72.96, adjustedClose=0.0, volume=22950.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.0, high=73.0, low=72.965, close=72.975, adjustedClose=0.0, volume=19080.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.98, high=73.025, low=72.98, close=72.995, adjustedClose=0.0, volume=25054.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.99, high=73.01, low=72.99, close=72.99, adjustedClose=0.0, volume=12331.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.045, high=73.065, low=73.0, close=73.0, adjustedClose=0.0, volume=52420.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.02, high=73.05, low=73.012, close=73.05, adjustedClose=0.0, volume=23686.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.05, high=73.0575, low=73.025, close=73.025, adjustedClose=0.0, volume=23662.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.08, high=73.09, low=73.045, close=73.05, adjustedClose=0.0, volume=20251.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.015, high=73.095, low=73.015, close=73.085, adjustedClose=0.0, volume=21979.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.0414, high=73.0414, low=73.005, close=73.02, adjustedClose=0.0, volume=14460.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=73.0201, high=73.045, low=73.015, close=73.045, adjustedClose=0.0, volume=26121.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.98, high=73.03, low=72.98, close=73.025, adjustedClose=0.0, volume=16758.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.96, high=72.995, low=72.95, close=72.985, adjustedClose=0.0, volume=12812.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.95, high=72.97, low=72.92, close=72.965, adjustedClose=0.0, volume=19322.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.97, high=72.97, low=72.945, close=72.96, adjustedClose=0.0, volume=31974.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=72.95, high=72.975, low=72.93, close=72.965, adjustedClose=0.0, volume=23220.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 15:34:00, symbol=null, percentageChange=0.0, target=0}, 
