[
StockUnit{open=4.49, high=4.49, low=4.48, close=4.48, adjustedClose=0.0, volume=2028.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.49, high=4.49, low=4.4898, close=4.4898, adjustedClose=0.0, volume=9437.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.4897, high=4.49, low=4.48, close=4.49, adjustedClose=0.0, volume=739.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.49, high=4.49, low=4.4899, close=4.49, adjustedClose=0.0, volume=1233.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.48, high=4.49, low=4.48, close=4.49, adjustedClose=0.0, volume=210.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.48, high=4.49, low=4.48, close=4.49, adjustedClose=0.0, volume=919.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.49, high=4.5, low=4.4898, close=4.49, adjustedClose=0.0, volume=3679.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:53:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.485, high=4.5, low=4.48, close=4.49, adjustedClose=0.0, volume=1370.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.49, high=4.5, low=4.4802, close=4.5, adjustedClose=0.0, volume=630.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.49, high=4.5, low=4.49, close=4.5, adjustedClose=0.0, volume=150.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:50:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.5, high=4.5, low=4.5, close=4.5, adjustedClose=0.0, volume=4009.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:49:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.5, high=4.5, low=4.5, close=4.5, adjustedClose=0.0, volume=1442.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.52, low=4.5, close=4.5, adjustedClose=0.0, volume=796.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:47:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.5299, low=4.51, close=4.52, adjustedClose=0.0, volume=26695.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.52, high=4.52, low=4.51, close=4.51, adjustedClose=0.0, volume=899.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.5393, high=4.54, low=4.5205, close=4.53, adjustedClose=0.0, volume=1053.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.54, high=4.54, low=4.5395, close=4.54, adjustedClose=0.0, volume=125.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.54, high=4.54, low=4.52, close=4.5396, adjustedClose=0.0, volume=1782.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.52, high=4.54, low=4.52, close=4.54, adjustedClose=0.0, volume=5098.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:41:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.52, high=4.52, low=4.5198, close=4.52, adjustedClose=0.0, volume=3654.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:40:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.52, high=4.52, low=4.51, close=4.51, adjustedClose=0.0, volume=480.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.52, low=4.51, close=4.52, adjustedClose=0.0, volume=1100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:38:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.5, high=4.52, low=4.5, close=4.52, adjustedClose=0.0, volume=52.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:37:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.5182, high=4.5182, low=4.51, close=4.51, adjustedClose=0.0, volume=147.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:36:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.51, low=4.5, close=4.51, adjustedClose=0.0, volume=558.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.51, low=4.51, close=4.51, adjustedClose=0.0, volume=16.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.51, low=4.51, close=4.51, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.5, high=4.51, low=4.5, close=4.5098, adjustedClose=0.0, volume=511.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.51, low=4.5, close=4.51, adjustedClose=0.0, volume=26.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=4.51, high=4.51, low=4.5, close=4.51, adjustedClose=0.0, volume=6.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-02 19:30:00, symbol=null, percentageChange=0.0, target=0}, 
