[
StockUnit{open=20.0, high=20.0, low=20.0, close=20.0, adjustedClose=0.0, volume=1291.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.01, high=20.01, low=20.01, close=20.01, adjustedClose=0.0, volume=500.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0297, high=20.0297, low=20.0297, close=20.0297, adjustedClose=0.0, volume=20.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:57:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0293, high=20.0293, low=20.0001, close=20.0001, adjustedClose=0.0, volume=9.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.04, high=20.04, low=20.03, close=20.03, adjustedClose=0.0, volume=326.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.03, high=20.0385, low=20.03, close=20.03, adjustedClose=0.0, volume=2651.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:52:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.03, high=20.03, low=20.03, close=20.03, adjustedClose=0.0, volume=40.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:46:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.03, high=20.03, low=20.03, close=20.03, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0302, high=20.0302, low=20.0302, close=20.0302, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.04, high=20.04, low=20.03, close=20.03, adjustedClose=0.0, volume=1538.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:43:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.03, high=20.04, low=20.03, close=20.04, adjustedClose=0.0, volume=120.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:42:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0399, high=20.0399, low=20.03, close=20.03, adjustedClose=0.0, volume=101.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.03, high=20.0301, low=20.03, close=20.0301, adjustedClose=0.0, volume=100.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.04, high=20.04, low=20.04, close=20.04, adjustedClose=0.0, volume=150.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:33:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0301, high=20.0301, low=20.0301, close=20.0301, adjustedClose=0.0, volume=200.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:32:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0303, high=20.04, low=20.0303, close=20.04, adjustedClose=0.0, volume=103.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:31:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0397, high=20.0397, low=20.0397, close=20.0397, adjustedClose=0.0, volume=659.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0399, high=20.0399, low=20.03, close=20.0301, adjustedClose=0.0, volume=80.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:28:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.04, high=20.04, low=20.04, close=20.04, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:24:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.04, high=20.04, low=20.04, close=20.04, adjustedClose=0.0, volume=65.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:21:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=20.0399, high=20.0399, low=20.0399, close=20.0399, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:20:00, symbol=null, percentageChange=0.0, target=0}, 
