[
StockUnit{open=18.02, high=18.02, low=18.02, close=18.02, adjustedClose=0.0, volume=495.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:59:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.03, high=18.03, low=18.01, close=18.01, adjustedClose=0.0, volume=1988.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:58:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.0394, high=18.0394, low=18.0394, close=18.0394, adjustedClose=0.0, volume=10.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:54:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=3.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:51:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.02, high=18.02, low=18.02, close=18.02, adjustedClose=0.0, volume=150.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:48:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.0397, close=18.0397, adjustedClose=0.0, volume=35.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:45:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.03, close=18.03, adjustedClose=0.0, volume=110.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:44:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.0396, high=18.0396, low=18.0396, close=18.0396, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:39:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.0399, close=18.0399, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:35:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.0395, high=18.0395, low=18.0395, close=18.0395, adjustedClose=0.0, volume=40.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:23:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.04, high=18.04, low=18.04, close=18.04, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:15:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.03, high=18.03, low=18.03, close=18.03, adjustedClose=0.0, volume=1.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:07:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.05, high=18.05, low=18.05, close=18.05, adjustedClose=0.0, volume=473241.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 19:00:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.05, high=18.05, low=18.05, close=18.05, adjustedClose=0.0, volume=50.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:56:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.0494, high=18.05, low=18.0494, close=18.05, adjustedClose=0.0, volume=509.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:55:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.05, high=18.05, low=18.05, close=18.05, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:34:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.05, high=18.05, low=18.05, close=18.05, adjustedClose=0.0, volume=473241.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:30:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.05, high=18.05, low=18.05, close=18.05, adjustedClose=0.0, volume=2.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:29:00, symbol=null, percentageChange=0.0, target=0}, 
StockUnit{open=18.05, high=18.05, low=18.05, close=18.05, adjustedClose=0.0, volume=5.0, dividendAmount=0.0, splitCoefficient=0.0, date=2025-05-23 18:18:00, symbol=null, percentageChange=0.0, target=0}, 
