timestamp,open,high,low,close,volume,target
Thu Feb 06 04:00:00 GMT 2025,17.22,17.31,17.19,17.3,1257.0,0
Thu Feb 06 04:01:00 GMT 2025,17.31,17.35,17.3,17.31,5240.0,0
Thu Feb 06 04:02:00 GMT 2025,17.32,17.32,17.3,17.32,1146.0,0
Thu Feb 06 04:03:00 GMT 2025,17.31,17.32,17.31,17.31,1290.0,0
Thu Feb 06 04:04:00 GMT 2025,17.31,17.32,17.31,17.31,1720.0,0
Thu Feb 06 04:05:00 GMT 2025,17.31,17.31,17.31,17.31,272.0,0
Thu Feb 06 04:06:00 GMT 2025,17.31,17.31,17.3,17.3,1411.0,0
Thu Feb 06 04:07:00 GMT 2025,17.3,17.32,17.3,17.32,75.0,0
Thu Feb 06 04:08:00 GMT 2025,17.32,17.32,17.3,17.3,1026.0,0
Thu Feb 06 04:09:00 GMT 2025,17.32,17.32,17.3,17.32,1392.0,0
Thu Feb 06 04:10:00 GMT 2025,17.32,17.32,17.3,17.3,14.0,0
Thu Feb 06 04:11:00 GMT 2025,17.32,17.36,17.32,17.36,2019.0,0
Thu Feb 06 04:12:00 GMT 2025,17.37,17.38,17.36,17.36,1914.0,0
Thu Feb 06 04:13:00 GMT 2025,17.37,17.37,17.36,17.37,221.0,0
Thu Feb 06 04:14:00 GMT 2025,17.37,17.37,17.36,17.37,562.0,0
Thu Feb 06 04:15:00 GMT 2025,17.38,17.38,17.38,17.38,87.0,0
Thu Feb 06 04:16:00 GMT 2025,17.37,17.37,17.35,17.35,674.0,0
Thu Feb 06 04:17:00 GMT 2025,17.33,17.33,17.31,17.31,3079.0,0
Thu Feb 06 04:18:00 GMT 2025,17.32,17.32,17.3,17.3,198.0,0
Thu Feb 06 04:19:00 GMT 2025,17.31,17.31,17.31,17.31,68.0,0
Thu Feb 06 04:20:00 GMT 2025,17.33,17.33,17.3,17.3,9802.0,0
Thu Feb 06 04:21:00 GMT 2025,17.31,17.32,17.31,17.32,2241.0,0
Thu Feb 06 04:22:00 GMT 2025,17.325,17.33,17.325,17.33,350.0,0
Thu Feb 06 04:23:00 GMT 2025,17.33,17.33,17.33,17.33,53.0,0
Thu Feb 06 04:24:00 GMT 2025,17.32,17.33,17.31,17.33,860.0,0
Thu Feb 06 04:25:00 GMT 2025,17.32,17.32,17.32,17.32,10.0,0
Thu Feb 06 04:26:00 GMT 2025,17.33,17.33,17.33,17.33,1.0,0
Thu Feb 06 04:27:00 GMT 2025,17.32,17.33,17.32,17.33,200.0,0
Thu Feb 06 04:28:00 GMT 2025,17.33,17.33,17.32,17.32,257.0,0
Thu Feb 06 04:29:00 GMT 2025,17.33,17.33,17.32,17.32,42.0,0
Thu Feb 06 04:30:00 GMT 2025,17.33,17.33,17.32,17.32,195.0,0
Thu Feb 06 04:31:00 GMT 2025,17.33,17.33,17.33,17.33,102.0,0
Thu Feb 06 04:32:00 GMT 2025,17.33,17.33,17.33,17.33,204.0,0
Thu Feb 06 04:33:00 GMT 2025,17.33,17.33,17.33,17.33,150.0,0
Thu Feb 06 04:34:00 GMT 2025,17.33,17.34,17.33,17.34,4726.0,0
Thu Feb 06 04:35:00 GMT 2025,17.35,17.35,17.35,17.35,7.0,0
Thu Feb 06 04:36:00 GMT 2025,17.34,17.34,17.33,17.33,970.0,0
Thu Feb 06 04:38:00 GMT 2025,17.34,17.34,17.34,17.34,9.0,0
Thu Feb 06 04:40:00 GMT 2025,17.33,17.33,17.33,17.33,13.0,0
Thu Feb 06 04:41:00 GMT 2025,17.33,17.33,17.33,17.33,83.0,0
Thu Feb 06 04:42:00 GMT 2025,17.33,17.33,17.3,17.3,7341.0,0
Thu Feb 06 04:43:00 GMT 2025,17.31,17.31,17.3,17.3,1420.0,0
Thu Feb 06 04:44:00 GMT 2025,17.29,17.31,17.29,17.31,45.0,0
Thu Feb 06 04:45:00 GMT 2025,17.31,17.31,17.31,17.31,602.0,0
Thu Feb 06 04:46:00 GMT 2025,17.31,17.31,17.3,17.3,255.0,0
Thu Feb 06 04:47:00 GMT 2025,17.3,17.3,17.3,17.3,1629.0,0
Thu Feb 06 04:48:00 GMT 2025,17.3,17.32,17.3,17.32,876.0,0
Thu Feb 06 04:49:00 GMT 2025,17.33,17.33,17.33,17.33,1.0,0
Thu Feb 06 04:50:00 GMT 2025,17.32,17.34,17.32,17.34,3462.0,0
Thu Feb 06 04:54:00 GMT 2025,17.34,17.34,17.34,17.34,1426.0,0
Thu Feb 06 04:55:00 GMT 2025,17.35,17.37,17.35,17.37,2400.0,0
Thu Feb 06 04:56:00 GMT 2025,17.36,17.37,17.36,17.37,1808.0,0
Thu Feb 06 04:57:00 GMT 2025,17.37,17.37,17.37,17.37,50.0,0
Thu Feb 06 04:58:00 GMT 2025,17.37,17.37,17.37,17.37,50.0,0
Thu Feb 06 04:59:00 GMT 2025,17.37,17.37,17.37,17.37,2925.0,0
Thu Feb 06 05:01:00 GMT 2025,17.37,17.37,17.36,17.37,12.0,0
Thu Feb 06 05:02:00 GMT 2025,17.35,17.36,17.35,17.35,1443.0,0
