timestamp,open,high,low,close,volume,target
Mon Jun 02 11:00:00 BST 2025,9.97,10.0,9.865,9.8999,1085463.0,0
Mon Jun 02 11:01:00 BST 2025,9.895,9.957,9.86,9.89,619493.0,0
Mon Jun 02 11:02:00 BST 2025,9.895,9.93,9.8403,9.8498,494969.0,0
Mon Jun 02 11:03:00 BST 2025,9.85,10.0,9.84,9.8846,809042.0,0
Mon Jun 02 11:04:00 BST 2025,9.885,9.8899,9.79,9.8654,530791.0,0
Mon Jun 02 11:05:00 BST 2025,9.865,9.93,9.85,9.93,462218.0,0
Mon Jun 02 11:06:00 BST 2025,9.925,9.93,9.87,9.915,345963.0,0
Mon Jun 02 11:07:00 BST 2025,9.915,10.08,9.905,10.015,1864069.0,0
Mon Jun 02 11:08:00 BST 2025,10.0184,10.02,9.915,10.0,696220.0,0
Mon Jun 02 11:09:00 BST 2025,10.0,10.01,9.8,9.87,902106.0,0
Mon Jun 02 11:10:00 BST 2025,9.8707,9.9792,9.865,9.9523,527848.0,0
Mon Jun 02 11:11:00 BST 2025,9.95,10.055,9.945,9.985,921265.0,0
Mon Jun 02 11:12:00 BST 2025,9.985,10.09,9.985,10.025,650079.0,0
Mon Jun 02 11:13:00 BST 2025,10.025,10.07,10.0,10.005,387541.0,0
Mon Jun 02 11:14:00 BST 2025,10.01,10.01,9.92,9.955,383627.0,0
Mon Jun 02 11:15:00 BST 2025,9.96,10.05,9.95,9.95,509263.0,0
Mon Jun 02 11:16:00 BST 2025,9.955,9.96,9.88,9.945,430719.0,0
Mon Jun 02 11:17:00 BST 2025,9.94,10.03,9.925,10.025,456114.0,0
Mon Jun 02 11:18:00 BST 2025,10.025,10.03,9.9,9.9,390453.0,0
Mon Jun 02 11:19:00 BST 2025,9.9,9.979,9.85,9.9012,393656.0,0
Mon Jun 02 11:20:00 BST 2025,9.905,9.94,9.87,9.935,380058.0,0
Mon Jun 02 11:21:00 BST 2025,9.94,9.96,9.9,9.9299,256525.0,0
